title,link,description,provider
Биомеханика,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=3795,"цель онлайн курса сформировать представление о биомеханических системах как конструкциях сложной структуры свойств и формы подчиняющихся не только общим законам механики но и имеющих свою специфику для тканей и органов в силу их гетерогенного анизотропного строения на основе высокомолекулярных соединений и водных растворов
определение специфики опорнодвигательной системы человека в силу множественности степеней свободы переменной активации мышцприводов сложного строения суставовшарниров и связочного крепления их звеньев с мнимыми осями вращения нелинейных реакциях на нагрузки различной модальности и диапазоны величин модальной активацией и утилизацией степеней свободы кинематической схемы тела
показать что все системы организма работают во взаимодействии симультанно формируя синкинезии и синэргии при организации координированной целенаправленной деятельности",Открытое образование
Психология,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=11044081,"цель онлайн курса основной целью курса является освоение студентами системы теоретических знаний психологии формирование у студентов представлений об основных категориях общей психологии закономерностях психического отражения ознакомления студентов с наиболее известными психологическими теориями сформировать психологопедагогическую составляющую культуры будущих инженеров
в курсе так же рассматриваются подходы к изучению личности и основные типологии личности отдельным модулем представлена психология общения и специфика процесса коммуникации",Открытое образование
Обучение и социально-психологическое сопровождение обучающихся с инвалидностью,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=11076691,цель обучения развитие у руководителей структурных подразделений профессорскопреподавательского и учебновспомогательного состава образовательных организаций высшего образования компетенций по формированию у обучающихся с инвалидностью по образовательным программам высшего образования профессиональных компетенцийосновные задачи обучениярасширение преставлений слушателей о технологиях психологопедагогического сопровождения обучающихся с инвалидностью в условиях инклюзивного образованияовладение технологиями адаптации образовательных программ с учетом индивидуальных особенностей обучающихся с инвалидностью гарантированность освоения образовательного стандартарасширение преставлений слушателей о методах ведения профориентационной работы с абитуриентами с инвалидностью и их родителями о проблемах внедрения механизмов содействия трудоустройству и постдипломному сопровождению выпускников с инвалидностью и путях их решения а также помощи в построении профессиональной траектории и формировании профессиональной мотивации у обучающихся с инвалидностьюкоординации освещения образовательного процесса на сайте структурного подразделения образовательного учреждения,Открытый университет ВятГУ
Управление рисками организации (базисный модуль),https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=11076702,цель обучения программа ориентирована на формирование у слушателей профессиональных компетенций необходимых для выполнения профессиональной деятельности в области рискменеджментаосновные задачи обучения создание системы обучения повышения квалификации и сертификации специалистов в области управления рисками в рф формирование и поддержание профессионального статуса специалистов по управлению рисками ведение реестров специалистов в этой области содействие разработке и внедрению систем управления рисками на предприятиях и организациях и повышение качества систем управления рисками содействие снижению опасности экологических техногенных и иных катастрофических событий эффективному устранению их экономических и социальных последствий в россии и в мире,Открытый университет ВятГУ
Современные методы бионанотехнологий,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=11076699,цель обучения повышение уровня компетентности слушателей в вопросах использования современных методов исследования биологических объектов и наноструктур широко внедряемых в различные отрасли в связи с развитием биотехнологии основные задачи обучения формирование навыков практического использования методов молекулярной биологии и электронной микроскопии как универсальных незаменимых и эффективных инструментов для использования биотехнологических процессов и конструирования наноматериалов,Открытый университет ВятГУ
Разработка веб сервиса на Java (часть 2),https://stepik.org/course/186,"Изучение Java, на примере написания веб сервера. Вторая часть курса: углубленное изучение возможностей языка на примере доработки веб-сервера до промышленного уровня. Пройдя курс вы получите: глубокое понимание затронутых в курсе тем ООП и проектирования, что позволит вам сформировать набор приложений (библиотек), который вы сможете использовать в промышленной разработке.",Stepik
Разработка веб сервиса на Java (часть 1),https://stepik.org/course/146,"Изучение Java, на примере разработки веб-сервера. Первая часть курса: основы разработки серверной части веб-приложений. Пройдя курс, вы получите: основные навыки разработки веб-приложений на Java, глубже поймете затронутые в курсе темы ООП и проектирования, попробуете себя в роли разработчиков серверной части веб-приложений.",Stepik
Поколение Python (для начинающих),https://stepik.org/course/126485,"Изучение Python в школе откроет вам возможности дальнейшего
развития в области IT и поможет профориентации в старших классах,
пригодится в олимпиадах по программированию и решении заданий ЕГЭ.",Stepik
Технология HTML,https://stepik.org/course/103858,"Изучения дизайна и языков гипертекста как html, таблицы стилей css, и многое другое.",Stepik
Проектирование пожарной сигнализации Cerberus PRO,https://stepik.org/course/94607,Изучив данный курс вы узнаете основы необходимые для проектирования систем пожарной безопасности на базе оборудования Cerberus PRO от Siemens,Stepik
"Собственный эффекты, мемы и чат-боты на Python",https://stepik.org/course/106107,"Изучив данный курс, вы научитесь:
- Писать простейшие программы на одном из самых популярных языков программирования Python
- Создавать свои собственные эффекты и/или мемы с помощью библиотеки Pillow
- Придумывать сценарий и реализовывать собственного простейшего чат-бота",Stepik
ML School by REU Data Science Club,https://stepik.org/course/133957,"Изучите основы машинного обучения за 3 месяца в школе ML от REU Data Science Club. Наш курс смешанного формата будет включать в себя еженедельные лекции, онлайн-семинары и практические домашние задания. На нем мы разберем темы, начиная от программирования на Python и заканчивая градиентным бустингом. Участники научатся работать с данными, строить ML модели и оптимизировать их. В конце курса будет финальный проект, который будет состоять из реальных задач!",Stepik
Цифровая культура,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=14685849,цель курса это в первую очередь понимание современных информационных технологий их функционала а также возможность грамотно использовать их в работе или быту работа с базами данных машинное обучение компьютерное моделирование знание в области кибербезопасности работа с графическими редакторами и многое другое позволит подготовить навыки для специалистов в области цифровой культуры,Открытый университет АлтГУ
Финансовые рынки,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=11093376,цель курса формирование у студентов целостного представления о финансовом рынке и его сегментах о финансовых инструментах ценных бумагах и производных финансовых инструментах и их практическом применении о видах финансовых институтов их роли и функции на финансовых рынках,Открытая онлайн-академия Финансового университета
Инновационная экономика и технологическое предпринимательство,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=3971,цель курса формирование у студентов комплекса теоретических знаний и практических навыков в сфере экономики технологического предпринимательства и управления инновационными проектамизадачи курса достижение следующих результатов образования рознания основные теории функционирования инновационной экономики и технологического предпринимательства принципы организации управления и оценки инновационнопредпринимательской деятельности меры государственной поддержки инновационной деятельности и развития инновационной экосистемы основы коммерциализации инноваций и развития высокотехнологического бизнесаумения планирование и проектирование коммерциализации результатов интеллектуальной деятельности в форме стартапа коммерческого контракта лицензионного договора формирование проектных команд выбор бизнесмодели и разработка бизнесплана анализ рынка и прогнозирование продаж анализ потребительного поведения разработка ipстратегии проекта проведение оценки эффективности инновационной деятельности анализ рисков развития компаниивладение приемы работы на рынке коммерциализации высоких технологий с использованием моделей product development и customer development использование технологий бережливого стартапа lean и гибкого подхода к управлению agile технологии разработки финансовой модели проекта проведение переговоров с инвесторами и публичных презентаций проектов питчейперечисленные ро являются основой для формирования общекультурной компетенции способность использовать основы экономических знаний в различных сферах жизнедеятельности ок3 федеральных государственных стандартов высшего образования по естественнонаучным и техническим направлениям уровень бакалавриатакурс был отмечен на международном конкурсе открытых онлайнкурсов edcrunch award в 2018 году и получил диплом ii степени как лучший курс по версии экспертовметоды обученияпроектная работа в команде совместная деятельность студентов над проектом под руководством преподавателя направленная на решение общей задачисasestudy анализ ситуаций имевших место в практической области профессиональной деятельности и поиск вариантов лучших решенийобучение на основе опыта активизация познавательной деятельности студента за счет ассоциации и собственного опыта с предметом изучениямеждисциплинарное обучение использование знаний из разных областей группировка и концентрация в контексте решаемой задачи,Открытое образование
Конфликтология,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=15460277,цель курса формирование у студентов компетенций в области управления конфликтами изучение методологических и прикладных подходов к анализу социальных конфликтов в обществе формирование на этой основе у слушателей целостного представления о социальных конфликтах для осуществления эффективного социального взаимодействия и работы в команде,Открытый университет АлтГУ
Digital-маркетинг,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=11043468,цель курса формирование у студентов знаний о специфике современной глобальной сети интернет как о сфере применения различных digitalтехнологий маркетинговой деятельности в рамках курса слушатели познакомятся со вcеми современными технологиями цифрового маркетинга,Открытая онлайн-академия Финансового университета
Международные экономические и финансовые организации,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=11043495,цель курса формирование у слушателей знаний об организационной и функциональной структуре мировой экономической и финансовой системы в курсе представлено полное и всестороннее освещение структуры и функциональной деятельности системы международных экономических и финансовых организаций,Открытая онлайн-академия Финансового университета
Правоведение,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=14745147,цель курса формирование у обучающихся качественной системы юридических знаний а также приобретение необходимых навыков достаточных для решения конкретных задач возникающих в сфере юридической практики и защиты своих прав и законных интересов,Система электронного обучения ВВГУ
Неразрушающий контроль в строительстве,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=11044033,цель курса формирование системы знаний умений и навыков в области неразрушающего контроля осуществляемого в строительной отрасли для обеспечения требуемого уровня качества при изготовлении конструкций и возведении зданий и сооружений получения информации о техническом состоянии конструкций строительного объекта,Открытое образование
Экономика организации,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=11043474,цель курса формирование системы знаний об общих принципах функционирования и развития организации в экономике страны,Открытая онлайн-академия Финансового университета
Теория и практика коммуникации,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=11144040,цель курса формирование системы знаний о коммуникации как о процессе о коммуникативных закономерностях и тенденциях выработка умений и навыков осуществлять коммуникацию в разных ситуациях слоган курса хочешь жить умей общаться,Онлайн-обучение в БФУ им И. Канта
Основы предпринимательской деятельности,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=11138732,цель курса формирование систематизированных знаний об основных аспектах организации предпринимательской деятельности в современных условиях развития экономики российской федерации а также формирование знаний основ нормативноправового регулирования основ экономического механизма предпринимательства и знаний управленческих основ организации деятельности мсп,Онлайн-обучение в БФУ им И. Канта
Современные технологии обучения физической культуре,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=1128987,цель курса формирование систематизированных знаний о принципах и содержании общепедагогических и технологий обучения по физической культуре,е-Сибирь – платформа онлайн-обучения Сибирского РЦКОО
Страноведение России,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=604721,цель курса формирование развитие и систематизация знаний по истории географии экономике и культуре россии знакомство с основами регионоведения и особенностями национальной концептосферы для расширения коммуникационных и межкультурных возможностей обучающихся на основе постижения особенностей общественной и культурной жизни исторического культурного национального наследия россии,Образование на русском
Социальное и коммерческое страхование: европейский опыт,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=11043528,"цель курса формирование профессиональных компетенций студентов в вопросах использования методов и инструментов социального и коммерческого страхования в профессиональной деятельности
в курсе рассматриваются основные направления социальной поддержки граждан и проблемы рынка труда как российской федерации так и евросоюза принципы корпоративной социальной ответственности в страховых программах интересы российских и международных страховщиков",Открытая онлайн-академия Финансового университета
Предпринимательство и стратегии бизнеса,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=11573603,"цель курса формирование комплексных знании в области теории и практики предпринимательства и построения стратегии с использованием аналитического инструментария предоставление понимания студентами основных теоретических и практических основ осуществления предпринимательской деятельности разработки стратегии развития компании в условиях цифровой трансформации экономики
курс посвящен формированию предпринимательского и стратегического мышления необходимого для успешной работы в современном бизнесе",Открытая онлайн-академия Финансового университета
Финансовая аналитика и практика,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=11080476,цель курса финансовая аналитика и практика определяется подготовкой студента магистра к самостоятельной финансовоаналитической практике и проведением научных исследований связанных с решением сложных профессиональных задачкурс финансовая аналитика и практика является важным элементом в подготовке высококвалифицированных экономистов способных работать в условиях жесткой экономической среды и принимать эффективные управленческие решения в курсе раскрывается значение финансового анализа с теоретикопрактического ракурса применяемых методах финансового анализа отчетности экономических субъектов рассматриваются ключевые аспекты применения различных методик финансового анализа с практической стороны,Росдистант
Базовый курс методики обучения иностранным языкам,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=131815,цель курса теоретическая и практическая подготовка студентов бакалавриата магистратуры а также всех желающих к преподаванию предмета иностранный язык в общеобразовательных учрежденияхпосле прохождения курса слушатели смогут разрабатыватьи реализовывать учебные программы базовых и элективных курсов по иностранному языкуприменять современные методики и технологии обучения и диагностирования достижений учащихся решать задачи воспитания обучающихся средствами учебного предметадля прохождения данного курса необходим пк с установленным программным обеспечением ms office 2007 2010 2013 2016 и колонкик каждой лекции предоставляется перечень дополнительных материалов для самостоятельного изучения,Открытое образование
Ценные бумаги: правовое регулирование,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=139405,цель курса сформировать целостную картину регулирования рынка ценных бумаг слушатели последовательно познакомятся с различными видами ценных бумаг их особенностями порядком выпуска ценных бумаг включая эмиссию правилами учета бездокументарных ценных бумаг а также порядком перехода прав на бумаги между участниками оборота системой защиты прав на ценные бумаги всеми профессиональными участниками рынка ценных бумаг общей характеристикой их деятельности наиболее сущностными моментами договоров которые заключаются между профучастниками и их клиентами основами биржевой торговли и договоров которые заключаются на биржевых торгах курс насыщен примерами из практики материал сопровождается демонстрацией различных схем,Онлайн-образование в НИУ ВШЭ
Основы программирования на языке Kotlin,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=11043949,цель курса сформировать у слушателей представление о современном и набирающем популярность языке программирования kotlin разработанном компанией jetbrains после прохождения курса слушатели смогут уверенно программировать на kotlin ориентируясь в синтаксисе и конструкции языка кроме того они узнают о базовых основах языка поработают с классами и объектами познакомятся с функциональным программированием а также получат возможность узнать о практическом использовании языка kotlin на примере приложения для androidсущественным преимуществом слушателей будет знание языка java для понимания некоторых конструкций в kotlinмодуль может быть использован как самостоятельный курс либо в сочетании с другими модулями в программах обучения бакалавров и магистров а также для повышения квалификации слушател,Открытое образование
Классическая зарубежная литература (Античность – XIX в.),https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=14773147,"цель курса сформировать представление о
становлении зарубежных литератур о международных связях и взаимодействиях в том числе с русской
литературой а также формирование системы знаний умений и владений необходимых для полноценного
восприятия и анализа произведений словесного искусства",Система электронного обучения ВВГУ
Инструменты и сервисы разработки контента и организации электронного обучения,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=77454,цель курса совершенствование профессиональных компетенций обеспечивающих разработку электронных курсов и организацию обучения с использованием сдо moodle при преподавании дисциплин ооп и дпп курс основан на многолетнем опыте создания курсов и эксплуатации платформы moodle и рассказывает о том как правильно создавать и поддерживать онлайнкурсы справляться с техническими и организационными проблемами по итогам обучения на курсе слушатели смогут самостоятельно разработать курс подготовить его к запуску и приступить к обучению слушателей целевая аудитория курса авторыразработчики онлайнкурсов профессорско преподавательский состав кафедр старшие преподаватели преподаватели ассистенты тьюторы слушатели курса должны обладать уверенными навыками выполнения пользовательских операций на компьютере и в сети интернет,Открытый Политех
Стратегический менеджмент базовый курс,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=14757062,"цель курса развитие компетенций и способностей для решения проблем и задач рационального использования ресурсов органов государственной власти местного
самоуправления общественнополитических и некоммерческих организаций с использованием инструментов и моделей стратегического менеджмента в том числе развитие навыков выявления и оценки сильных и
слабых сторон организации проведения стратегического анализа конкретных ситуаций оценки
конкурентных преимуществ и выработки стратегических направлений развития построения стратегий стратегических планов и целевых программ для повышения эффективности деятельности органов исполнительной власти субъектов рф и органов местного самоуправления разработки и реализации
политики результативного исполнения государственных и муниципальных полномочий",Система электронного обучения ВВГУ
Общая теория связи. Вероятностные модели сигналов и систем,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=3824,цель курса приобретение навыков и умений позволяющих оперировать со случайными объектами и сигналами вычислять их вероятностные характеристики курс содержит видеолекции а также практические задания с использованием средств имитационного моделирования,Открытое образование
Складская логистика,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=15150583,цель курса получение знаний по основным принципам и методам управления логистическими процессами в складской сети и в отдельном складском хозяйстве,Система электронного обучения ВВГУ
История отечественной журналистики,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=14890779,цель курса познакомить обучающегося с основными периодическими изданиями и известными персонами российской журналистики сыгравшим важную роль в ее становлении и развитии это издатели писатели и поэты совмещавшие литературную деятельность с журналисткой либо публикующие свои произведения в периодической печати а позже и профессиональные журналисты узнать о том как исторические события отражались на тенденциях развития российской журналистики и как менялась публицистическая риторика и способы ее воздействия на массовое сознание в зависимости от социальнополитической и экономической ситуации в стране сформировать понимание связи журналистики с политическими экономическими культурными и социальными процессами и поможет найти ответы на самые острые вопросы современной реальности,Система электронного обучения ВВГУ
Основания алгебры и геометрии,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=979695,цель курса освоить ключевые математические концепции используемые в современной математике и её многочисленных приложениях отталкиваясь от знакомых всем понятий школьной математики таких как число прямая функция мы получим их далеко идущие обобщения такие как кольца поля векторные пространства группы преобразований слушатели также узнают о целях задачах и методах математики от теории множеств и до начал алгебры геометрии и анализа,Открытое образование
Язык современной рекламы и СМИ,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=3897,цель курса осветить разные аспекты в современном состоянии языка рекламы и сми для этого решаются следующие задачи в аспекте культуры речи и нормативной стилистики осмысляются трансформации в современном русском языке отражающиеся в языке массмедиа в аспекте коммуникативной стилистики рассматриваются особенности коммуникации автор адресат и авторские речевые стратегии внимание фокусируется на генеральной авторской стратегии убеждения и на манипулировании активно применяемом в сми и рекламе в лингвостилистическом плане разъясняются языковые языковая игра и речевые приемы цитирование использование прецедентных текстов характерные для современных сми и рекламы рассматриваются типичные ошибки в языке сми а также характерные для медийной коммуникации проявления речевой агрессии,Открытое образование
Нейролингвистика,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=11070828,"цель курса ознакомление с основными положениями и задачами современной нейролингвистики науки соединяющей в себе методы и парадигмы лингвистики и нейропсихологии
в курсе нейролингвистика будут обсуждаться основные единицы и принципы организации нервной системы обеспечивающие речемыслительную деятельность человека будут рассмотрены нейрофизиологические аспекты усвоения родного и иностранного языка клинические исследования в области нарушения речи чтения и письма а также речевые нарушения сопутствующие психическим заболеваниям курс включает в себя ознакомление с историей нейролингвистики с современными нейролингвистическими методиками а также с некоторыми конкретными исследованиями в данной области
курс рассчитан на широкий круг студентов и призван дать им основополагающее представление о нейрофизиологической основе речевой деятельности человека",Открытое образование
